"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"N1";"antmicro-logo_scaled_30mm";1;"antmicro_logo";;;
2;"J5";"USB_A_Female_UE27AC54100";1;"UE27AC54100";;;
3;"C14,C10,C12,C13";"0603-cap";4;"C_22u_0603";;;
4;"J4";"HDMI_A_Female_2000-1-2-41-00-BK";1;"2000-1-2-41-00-BK";;;
5;"J3,J1,J6";"PinHeader_6x2_P2.54mm_Horizontal_Mirrored";3;"0015912120";;;
6;"D2,D1";"PGB1010603MR";2;"PGB1010603MR";;;
7;"L1";"XFL4020-102MEB";1;"XFL4020-102MEB";;;
8;"TP6,TP10,TP9,TP8,TP7,TP5,TP4,TP1,TP2,TP3";"Testpoint_smd_1mm";10;"TP_SMD1MM";;;
9;"C15,C18,C19,C1,C2,C3,C4,C5,C6,C7,C8,C9";"0402-cap";12;"C_100n_0402_6V3";;;
10;"C16,C17";"0402-cap";2;"C_22p_0402";;;
11;"C11";"0402-cap";1;"C_10n_0402";;;
12;"R10,R9";"0402-res";2;"R_22R_0402";;;
13;"R8";"0603-res";1;"R_0R_0603";;;
14;"R11";"0603-res";1;"R_10k_0603";;;
15;"Y1";"KX-7";1;"KX-7_12,MHz";;;
16;"U2";"TQFP-32_5x5mm";1;"MAX3421EEHJ";;;
17;"U1";"VSON-10-1EP_3x3mm";1;"TPS61232DRCT";;;
18;"R12";"0402-res";1;"R_220R_0402";;;
19;"R7,R6,R5,R4,R3,R2,R1";"0603-res";7;"R_20k_0603";;;
20;"J2";"MicroSD_1140084168";1;"1140084168";;;
